alpha,R1,R2,C,P
0,5.197679071,0.432623356,2.034485931,2.868227233
0.01,5.263799473,0.457441795,2.029583221,2.758415881
0.02,5.234839601,0.492673568,2.020207083,2.731260004
0.03,5.180048932,0.533001245,2.012787015,2.692060476
0.04,5.166993868,0.566030758,2.000188348,2.691340364
0.05,5.011023906,0.625748337,1.984352334,2.696219298
0.06,4.960225761,0.666571694,1.974651882,2.683984951
0.07,4.860451344,0.717473517,1.959263831,2.706850421
0.08,4.724378524,0.780195208,1.941716887,2.710109
0.09,4.632548127,0.834015564,1.925586258,2.707163281
0.1,4.546959949,0.889216397,1.913545088,2.702397219
0.11,4.427843812,0.952373099,1.896128808,2.724611098
0.12,4.353815884,1.007539293,1.88211475,2.711333688
0.13,4.158931132,1.095953351,1.855667576,2.761526689
0.14,4.019672303,1.169225954,1.840486795,2.734107203
0.15,3.950147282,1.227533553,1.823893212,2.7456389
0.16,3.823879103,1.304066652,1.803677909,2.76493746
0.17,3.645978788,1.394605614,1.779468125,2.780625255
0.18,3.436444054,1.506155644,1.746490792,2.827457556
0.19,3.402294972,1.562576139,1.732013001,2.85261587
0.2,3.178281549,1.676623734,1.70266329,2.859287594
0.21,3.068429963,1.761875191,1.68084347,2.883757469
0.22,2.8815252,1.872664759,1.650986311,2.905407638
0.23,2.711804265,1.983082417,1.623914472,2.912239622
0.24,2.546549488,2.091740981,1.59372679,2.941631171
0.25,2.42987349,2.197344797,1.565990062,2.978716521
0.26,2.265506154,2.306026877,1.538397732,2.989981988
0.27,2.185706884,2.403530553,1.511869125,3.036883585
0.28,1.973764884,2.528932204,1.481040487,3.023349611
0.29,1.817850177,2.656856516,1.448451417,3.046648165
0.3,1.744497824,2.74092453,1.428408784,3.054743961
0.31,1.59057603,2.877567336,1.391888367,3.089892324
0.32,1.385515315,3.020581111,1.356187024,3.082478945
0.33,1.299522807,3.132693777,1.3277454,3.113760122
0.34,1.146239116,3.257061847,1.297345365,3.104924978
0.35,1.092098433,3.363047738,1.270331683,3.148996552
0.36,0.990530719,3.469246217,1.245592846,3.137174641
0.37,0.844970114,3.625274553,1.204075897,3.169175155
0.38,0.760012201,3.736578364,1.17827944,3.169836843
0.39,0.655697861,3.848457767,1.15141397,3.159555054
0.4,0.612389521,3.96165359,1.123602107,3.195328269
0.41,0.523885903,4.08159069,1.094666653,3.195593672
0.42,0.488356504,4.184235443,1.06990388,3.222052511
0.43,0.372030764,4.306756957,1.041063241,3.188283218
0.44,0.345561606,4.412428716,1.015762616,3.217845838
0.45,0.284195709,4.514917943,0.991877241,3.208634731
0.46,0.260756364,4.620947552,0.966692749,3.238097212
0.47,0.215752036,4.717155894,0.945076033,3.235589074
0.48,0.116683841,4.870702956,0.906655884,3.258462902
0.49,0.091900543,4.963732925,0.885460776,3.250951837
0.5,0.088531532,5.050637701,0.86582296,3.264338278
0.51,0.087028568,5.136695529,0.846422356,3.279563201
0.52,0.087336327,5.22188551,0.827262285,3.296565558
0.53,0.089399774,5.30618852,0.808345671,3.315281948
0.54,0.093164235,5.389587139,0.78967507,3.33564696
0.55,0.098575484,5.472065601,0.771252672,3.35759355
0.56,0.105579808,5.553609733,0.753080323,3.38105337
0.57,0.114124076,5.634206903,0.735159538,3.405957087
0.58,0.1241558,5.713845947,0.717491516,3.432234684
0.59,0.135623167,5.792517178,0.700077141,3.459815744
0.6,0.170555722,5.853434727,0.687349746,3.500437332
0.61,0.265793172,5.873446653,0.685278971,3.542069504
0.62,0.326803679,5.920431632,0.676068086,3.573188048
0.63,0.369910615,5.970896285,0.665980274,3.594354094
0.64,0.434365104,6.016541478,0.656462856,3.642532106
0.65,0.449337085,6.089311583,0.641542915,3.644201165
0.66,0.512795015,6.120318758,0.636038785,3.679725149
0.67,0.575605377,6.149067099,0.63163691,3.706672689
0.68,0.61630624,6.225553454,0.614798339,3.741926322
0.69,0.657012321,6.274071577,0.60447833,3.767974855
0.7,0.74068309,6.283999647,0.60410141,3.806683293
0.71,0.800554487,6.334093789,0.594222516,3.839643287
0.72,0.849786619,6.364443215,0.589259806,3.851707734
0.73,0.902082067,6.415411723,0.579395569,3.871145049
0.74,0.991545398,6.40521349,0.584650166,3.889684084
0.75,1.048015826,6.44940607,0.575648005,3.91197553
0.76,1.133812046,6.454860636,0.576383146,3.931886213
0.77,1.219520527,6.461314263,0.57603242,3.957610333
0.78,1.281928017,6.486822827,0.57367053,3.942830999
0.79,1.386262541,6.476052134,0.577542869,3.964932799
0.8,1.504140379,6.448157524,0.586865167,3.970050939
0.81,1.591881323,6.442248235,0.59101049,3.959465979
0.82,1.66127555,6.466029877,0.585013065,3.970644386
0.83,1.763497973,6.444913562,0.592181289,3.962469613
0.84,1.867227188,6.424191144,0.602467655,3.921474387
0.85,1.932679033,6.434223769,0.599149014,3.9372812
0.86,2.003947107,6.446412299,0.599551916,3.905348958
0.87,2.088223733,6.436105902,0.604070776,3.890660502
0.88,2.166924384,6.429437457,0.606856585,3.885670798
0.89,2.202630018,6.464457852,0.599039862,3.878614049
0.9,2.241685711,6.501001519,0.593001871,3.851281075
0.91,2.301671936,6.513863196,0.592568282,3.828507671
0.92,2.368944932,6.512408643,0.594293264,3.825639417
0.93,2.404683898,6.550714982,0.586843348,3.810319664
0.94,2.453023415,6.565376072,0.583671348,3.816315217
0.95,2.426995026,6.654481586,0.563117446,3.802148135
0.96,2.534485001,6.627971607,0.572857132,3.785601241
0.97,2.500786145,6.71097919,0.551622388,3.797196828
0.98,2.58269776,6.71640077,0.554537479,3.769152826
0.99,2.570712682,6.778082639,0.538817334,3.779061463
1,2.615401836,6.806585728,0.534509838,3.766590257
