date,sp,ind
0701,Col,500
0704,Col,3140
0707,Col,3120
0709,Col,4100
0711,Col,3220
0713,Col,3760
0715,Col,3800
0717,Col,3000
0720,Col,3140
0722*,Col,1860
0725,Col,720
0727,Col,1060
0730,Col,580
0801,Col,840
0803,Col,1220
0806,Col,1880
0808,Col,740
0701,Col,500
0704,Col,720
0707,Col,3160
0709,Col,3160
0711,Col,3560
0713,Col,2300
0715,Col,3220
0717,Col,2960
0720,Col,5880
0722*,Col,3760
0725,Col,2920
0727,Col,3000
0730,Col,2420
0801,Col,2100
0803,Col,2200
0806,Col,2600
0808,Col,2620
0701,Col,500
0704,Col,2320
0707,Col,3640
0709,Col,3720
0711,Col,3360
0713,Col,3500
0715,Col,3420
0717,Col,3000
0720,Col,1580
0722*,Col,1400
0725,Col,400
0727,Col,520
0730,Col,600
0801,Col,860
0803,Col,1100
0806,Col,800
0808,Col,920
0701,Col,500
0704,Col,3140
0707,Col,2560
0709,Col,3580
0711,Col,3460
0713,Col,2320
0715,Col,3440
0717,Col,3200
0720,Col,3080
0722*,Col,2360
0725,Col,1100
0727,Col,780
0730,Col,1280
0801,Col,1120
0803,Col,440
0806,Col,960
0808,Col,800
0701,Col,500
0704,Col,3700
0707,Col,3040
0709,Col,3900
0711,Col,3340
0713,Col,2720
0715,Col,3120
0717,Col,2360
0720,Col,1880
0722*,Col,1360
0725,Col,1460
0727,Col,1260
0730,Col,1180
0801,Col,1220
0803,Col,1220
0806,Col,1000
0808,Col,2840
0701,Ble,50
0704,Ble,2
0707,Ble,20
0709,Ble,66
0711,Ble,56
0713,Ble,106
0715,Ble,140
0717,Ble,222
0720,Ble,130
0722*,Ble,326
0725,Ble,496
0727,Ble,506.6666667
0730,Ble,596
0801,Ble,400
0803,Ble,492
0806,Ble,480
0808,Ble,540
0701,Ble,50
0704,Ble,4
0707,Ble,6
0709,Ble,16
0711,Ble,52
0713,Ble,82
0715,Ble,92
0717,Ble,114
0720,Ble,116
0722*,Ble,156
0725,Ble,224
0727,Ble,313.3333333
0730,Ble,264
0801,Ble,252
0803,Ble,248
0806,Ble,252
0808,Ble,212
0701,Ble,50
0704,Ble,2
0707,Ble,6
0709,Ble,16
0711,Ble,32
0713,Ble,38
0715,Ble,72
0717,Ble,56
0720,Ble,106
0722*,Ble,216
0725,Ble,182
0727,Ble,103.3333333
0730,Ble,196
0801,Ble,160
0803,Ble,188
0806,Ble,132
0808,Ble,164
0701,Ble,50
0704,Ble,2
0707,Ble,8
0709,Ble,14
0711,Ble,54
0713,Ble,94
0715,Ble,122
0717,Ble,162
0720,Ble,246
0722*,Ble,282
0725,Ble,196
0727,Ble,296.6666667
0730,Ble,276
0801,Ble,340
0803,Ble,260
0806,Ble,248
0808,Ble,216
0701,Ble,50
0704,Ble,2
0707,Ble,2
0709,Ble,12
0711,Ble,20
0713,Ble,42
0715,Ble,76
0717,Ble,94
0720,Ble,174
0722*,Ble,298
0725,Ble,404
0727,Ble,466.6666667
0730,Ble,468
0801,Ble,488
0803,Ble,496
0806,Ble,248
0808,Ble,592
0701,B+C_C,500
0704,B+C_C,100
0707,B+C_C,780
0709,B+C_C,980
0711,B+C_C,1480
0713,B+C_C,1520
0715,B+C_C,1680
0717,B+C_C,2480
0720,B+C_C,1940
0722*,B+C_C,780
0725,B+C_C,2580
0727,B+C_C,1320
0730,B+C_C,1720
0801,B+C_C,500
0803,B+C_C,580
0806,B+C_C,2940
0808,B+C_C,280
0701,B+C_C,500
0704,B+C_C,120
0707,B+C_C,400
0709,B+C_C,760
0711,B+C_C,1000
0713,B+C_C,740
0715,B+C_C,500
0717,B+C_C,720
0720,B+C_C,260
0722*,B+C_C,280
0725,B+C_C,660
0727,B+C_C,940
0730,B+C_C,160
0801,B+C_C,440
0803,B+C_C,260
0806,B+C_C,360
0808,B+C_C,140
0701,B+C_C,500
0704,B+C_C,0
0707,B+C_C,580
0709,B+C_C,860
0711,B+C_C,920
0713,B+C_C,400
0715,B+C_C,20
0717,B+C_C,40
0720,B+C_C,20
0722*,B+C_C,100
0725,B+C_C,420
0727,B+C_C,680
0730,B+C_C,640
0801,B+C_C,440
0803,B+C_C,120
0806,B+C_C,0
0808,B+C_C,80
0701,B+C_C,500
0704,B+C_C,0
0707,B+C_C,460
0709,B+C_C,940
0711,B+C_C,680
0713,B+C_C,1060
0715,B+C_C,1200
0717,B+C_C,2060
0720,B+C_C,1040
0722*,B+C_C,820
0725,B+C_C,2160
0727,B+C_C,1300
0730,B+C_C,1080
0801,B+C_C,660
0803,B+C_C,640
0806,B+C_C,120
0808,B+C_C,260
0701,B+C_B,50
0704,B+C_B,2
0707,B+C_B,0
0709,B+C_B,4
0711,B+C_B,16
0713,B+C_B,10
0715,B+C_B,16
0717,B+C_B,28
0720,B+C_B,100
0722*,B+C_B,100
0725,B+C_B,94
0727,B+C_B,116.6666667
0730,B+C_B,192
0801,B+C_B,160
0803,B+C_B,236
0806,B+C_B,252
0808,B+C_B,296
0701,B+C_B,50
0704,B+C_B,0
0707,B+C_B,2
0709,B+C_B,4
0711,B+C_B,10
0713,B+C_B,20
0715,B+C_B,32
0717,B+C_B,74
0720,B+C_B,122
0722*,B+C_B,214
0725,B+C_B,222
0727,B+C_B,286.6666667
0730,B+C_B,312
0801,B+C_B,324
0803,B+C_B,316
0806,B+C_B,252
0808,B+C_B,288
0701,B+C_B,50
0704,B+C_B,2
0707,B+C_B,2
0709,B+C_B,20
0711,B+C_B,36
0713,B+C_B,74
0715,B+C_B,234
0717,B+C_B,282
0720,B+C_B,602
0722*,B+C_B,578
0725,B+C_B,640
0727,B+C_B,610
0730,B+C_B,636
0801,B+C_B,768
0803,B+C_B,568
0806,B+C_B,436
0808,B+C_B,456
0701,B+C_B,50
0704,B+C_B,4
0707,B+C_B,4
0709,B+C_B,14
0711,B+C_B,22
0713,B+C_B,36
0715,B+C_B,76
0717,B+C_B,102
0720,B+C_B,316
0722*,B+C_B,304
0725,B+C_B,282
0727,B+C_B,153.3333333
0730,B+C_B,200
0801,B+C_B,212
0803,B+C_B,184
0806,B+C_B,160
0808,B+C_B,220
0701,B+C_B,50
0704,B+C_B,0
0707,B+C_B,6
0709,B+C_B,2
0711,B+C_B,8
0713,B+C_B,4
0715,B+C_B,60
0717,B+C_B,8
0720,B+C_B,48
0722*,B+C_B,64
0725,B+C_B,62
0727,B+C_B,46.66666667
0730,B+C_B,92
0801,B+C_B,116
0803,B+C_B,188
0806,B+C_B,228
0808,B+C_B,216
